fileName,colorPath,grayPath
frame_0998,Color_image/VIDEO2_VaoNamRaBac/frame_0998.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_0998.jpg
frame_0682,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0682.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0682.jpg
frame_1569,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1569.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1569.jpg
frame_0915,Color_image/VIDEO4_HaNoi12NgayDem/frame_0915.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0915.jpg
frame_0382,Color_image/VIDEO2_VaoNamRaBac/frame_0382.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_0382.jpg
frame_0613,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0613.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0613.jpg
frame_1249,Color_image/VIDEO3_MuiCoChay/frame_1249.jpg,Grayscale_image/VIDEO3_MuiCoChay/frame_1249.jpg
frame_1313,Color_image/VIDEO4_HaNoi12NgayDem/frame_1313.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_1313.jpg
frame_0183,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0183.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0183.jpg
frame_0065,Color_image/VIDEO4_HaNoi12NgayDem/frame_0065.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0065.jpg
frame_1249,Color_image/VIDEO4_HaNoi12NgayDem/frame_1249.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_1249.jpg
frame_1025,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1025.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1025.jpg
frame_0846,Color_image/VIDEO2_VaoNamRaBac/frame_0846.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_0846.jpg
frame_0654,Color_image/VIDEO2_VaoNamRaBac/frame_0654.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_0654.jpg
frame_1020,Color_image/VIDEO2_VaoNamRaBac/frame_1020.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_1020.jpg
frame_0098,Color_image/VIDEO4_HaNoi12NgayDem/frame_0098.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0098.jpg
frame_0253,Color_image/VIDEO4_HaNoi12NgayDem/frame_0253.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0253.jpg
frame_1154,Color_image/VIDEO3_MuiCoChay/frame_1154.jpg,Grayscale_image/VIDEO3_MuiCoChay/frame_1154.jpg
frame_0606,Color_image/VIDEO2_VaoNamRaBac/frame_0606.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_0606.jpg
frame_0201,Color_image/VIDEO2_VaoNamRaBac/frame_0201.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_0201.jpg
frame_0364,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0364.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0364.jpg
frame_0772,Color_image/VIDEO4_HaNoi12NgayDem/frame_0772.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0772.jpg
frame_0020,Color_image/VIDEO3_MuiCoChay/frame_0020.jpg,Grayscale_image/VIDEO3_MuiCoChay/frame_0020.jpg
frame_1509,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1509.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1509.jpg
frame_1479,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1479.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1479.jpg
frame_0275,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0275.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0275.jpg
frame_1760,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1760.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1760.jpg
frame_0024,Color_image/VIDEO3_MuiCoChay/frame_0024.jpg,Grayscale_image/VIDEO3_MuiCoChay/frame_0024.jpg
frame_1083,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1083.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_1083.jpg
frame_0348,Color_image/VIDEO4_HaNoi12NgayDem/frame_0348.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0348.jpg
frame_0283,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0283.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0283.jpg
frame_0315,Color_image/VIDEO4_HaNoi12NgayDem/frame_0315.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0315.jpg
frame_0951,Color_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0951.jpg,Grayscale_image/VIDEO1_NhungNguoiVietLenHuyenThoai/frame_0951.jpg
frame_0866,Color_image/VIDEO2_VaoNamRaBac/frame_0866.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_0866.jpg
frame_0989,Color_image/VIDEO2_VaoNamRaBac/frame_0989.jpg,Grayscale_image/VIDEO2_VaoNamRaBac/frame_0989.jpg
frame_0495,Color_image/VIDEO4_HaNoi12NgayDem/frame_0495.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0495.jpg
frame_0487,Color_image/VIDEO4_HaNoi12NgayDem/frame_0487.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0487.jpg
frame_0010,Color_image/VIDEO4_HaNoi12NgayDem/frame_0010.jpg,Grayscale_image/VIDEO4_HaNoi12NgayDem/frame_0010.jpg
